Project_ID,Project_Name,Month,Planned_Percent_Complete,Actual_Percent_Complete,SPI,CPI,Actual_Cost_AED
PRJ-1004,Khalifa City Commercial Redevelopment,2026-08,97.3,97.3,0.99,0.96,877588529.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-09,100.0,100.0,0.99,0.95,906217933.0
PRJ-1005,Khalifa City Commercial District 5,2025-10,40.8,27.0,0.76,0.77,63628624.0
PRJ-1005,Khalifa City Commercial District 5,2025-11,43.5,29.7,0.77,0.78,62964809.0
PRJ-1005,Khalifa City Commercial District 5,2025-12,46.3,32.5,0.77,0.76,76838293.0
PRJ-1005,Khalifa City Commercial District 5,2026-01,49.0,35.2,0.78,0.77,81672639.0
PRJ-1005,Khalifa City Commercial District 5,2026-02,51.7,37.9,0.77,0.77,84265132.0
PRJ-1005,Khalifa City Commercial District 5,2026-03,54.4,40.6,0.77,0.8,91935839.0
PRJ-1005,Khalifa City Commercial District 5,2026-04,57.2,43.4,0.77,0.8,104761723.0
PRJ-1005,Khalifa City Commercial District 5,2026-05,59.9,46.1,0.77,0.81,95709067.0
PRJ-1005,Khalifa City Commercial District 5,2026-06,62.6,48.8,0.77,0.81,101621639.0
PRJ-1005,Khalifa City Commercial District 5,2026-07,65.3,51.5,0.78,0.81,114578382.0
PRJ-1005,Khalifa City Commercial District 5,2026-08,68.1,54.3,0.8,0.82,122178944.0
PRJ-1005,Khalifa City Commercial District 5,2026-09,70.8,57.0,0.81,0.84,128993902.0
PRJ-1006,Yas Island Residential Tower B,2025-10,54.4,59.2,1.02,0.84,154378701.0
PRJ-1006,Yas Island Residential Tower B,2025-11,57.1,61.9,1.01,0.85,175447925.0
PRJ-1006,Yas Island Residential Tower B,2025-12,59.9,64.7,1.03,0.84,172771038.0
PRJ-1006,Yas Island Residential Tower B,2026-01,62.6,67.4,1.02,0.86,192973483.0
PRJ-1006,Yas Island Residential Tower B,2026-02,65.3,70.1,1.03,0.86,203562705.0
PRJ-1006,Yas Island Residential Tower B,2026-03,68.0,72.8,1.06,0.86,194041180.0
PRJ-1006,Yas Island Residential Tower B,2026-04,70.8,75.6,1.05,0.87,219976916.0
PRJ-1006,Yas Island Residential Tower B,2026-05,73.5,78.3,1.05,0.87,209344952.0
PRJ-1006,Yas Island Residential Tower B,2026-06,76.2,81.0,1.06,0.87,204681565.0
PRJ-1006,Yas Island Residential Tower B,2026-07,78.9,83.7,1.06,0.89,241840511.0
PRJ-1006,Yas Island Residential Tower B,2026-08,81.7,86.5,1.05,0.88,231407569.0
PRJ-1006,Yas Island Residential Tower B,2026-09,84.4,89.2,1.05,0.89,252555631.0
PRJ-1007,Khalifa City Infrastructure Tower A,2025-10,58.6,50.0,0.85,1.01,249791018.0
PRJ-1007,Khalifa City Infrastructure Tower A,2025-11,61.3,52.7,0.86,1.02,236906376.0
PRJ-1007,Khalifa City Infrastructure Tower A,2025-12,64.1,55.5,0.86,1.01,273958825.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-01,66.8,58.2,0.85,1.02,272192529.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-02,69.5,60.9,0.86,1.02,271595570.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-03,72.2,63.6,0.87,1.03,295166937.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-04,75.0,66.4,0.87,1.05,324048747.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-05,77.7,69.1,0.88,1.04,307785110.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-06,80.4,71.8,0.88,1.06,326440024.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-07,83.1,74.5,0.89,1.06,375957662.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-08,85.9,77.3,0.89,1.08,333603783.0
PRJ-1007,Khalifa City Infrastructure Tower A,2026-09,88.6,80.0,0.89,1.1,350401003.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2025-10,35.1,23.6,0.77,0.79,143589059.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2025-11,37.8,26.3,0.76,0.78,152997950.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2025-12,40.6,29.1,0.76,0.78,170953041.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-01,43.3,31.8,0.76,0.79,194568733.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-02,46.0,34.5,0.76,0.79,207829729.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-03,48.7,37.2,0.77,0.8,230215011.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-04,51.5,40.0,0.78,0.81,227955299.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-05,54.2,42.7,0.79,0.81,282507291.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-06,56.9,45.4,0.79,0.81,276683812.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-07,59.6,48.1,0.81,0.8,315002061.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-08,62.4,50.9,0.81,0.8,343474758.0
PRJ-1008,Al Maryah Island Mixed-Use Tower A,2026-09,65.1,53.6,0.85,0.81,303023038.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2025-10,70.0,58.8,0.84,0.97,639923906.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2025-11,72.7,61.5,0.83,0.96,633337988.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2025-12,75.5,64.3,0.84,0.97,649152349.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-01,78.2,67.0,0.85,0.98,737004889.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-02,80.9,69.7,0.84,0.99,680226319.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-03,83.6,72.4,0.85,1.03,719632208.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-04,86.4,75.2,0.86,1.04,819606196.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-05,89.1,77.9,0.85,1.06,840927529.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-06,91.8,80.6,0.86,1.07,824013869.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-07,94.5,83.3,0.87,1.08,883530482.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-08,97.3,86.1,0.88,1.09,923294381.0
PRJ-1009,Al Raha Beach Commercial Phase 2,2026-09,100.0,88.8,0.9,1.1,969360031.0
PRJ-1010,Masdar City Retail Tower A,2025-10,70.0,61.4,0.85,0.8,303832688.0
PRJ-1010,Masdar City Retail Tower A,2025-11,72.7,64.1,0.85,0.81,304285992.0
PRJ-1010,Masdar City Retail Tower A,2025-12,75.5,66.9,0.85,0.81,330660629.0
PRJ-1010,Masdar City Retail Tower A,2026-01,78.2,69.6,0.86,0.82,337787775.0
PRJ-1010,Masdar City Retail Tower A,2026-02,80.9,72.3,0.89,0.82,370154922.0
PRJ-1010,Masdar City Retail Tower A,2026-03,83.6,75.0,0.87,0.82,393279200.0
PRJ-1010,Masdar City Retail Tower A,2026-04,86.4,77.8,0.88,0.85,402140069.0
PRJ-1010,Masdar City Retail Tower A,2026-05,89.1,80.5,0.87,0.86,425088669.0
PRJ-1010,Masdar City Retail Tower A,2026-06,91.8,83.2,0.87,0.84,445705277.0
PRJ-1010,Masdar City Retail Tower A,2026-07,94.5,85.9,0.89,0.85,465279435.0
PRJ-1010,Masdar City Retail Tower A,2026-08,97.3,88.7,0.89,0.85,442633868.0
PRJ-1010,Masdar City Retail Tower A,2026-09,100.0,91.4,0.89,0.86,488436958.0
PRJ-1011,Saadiyat Island Villas Community Hub,2025-10,0.0,0.0,0.6,0.93,0.0
PRJ-1011,Saadiyat Island Villas Community Hub,2025-11,2.1,1.1,0.6,0.95,5860151.0
PRJ-1011,Saadiyat Island Villas Community Hub,2025-12,4.2,2.2,0.6,0.94,10466530.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-01,6.4,3.3,0.6,0.94,16819206.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-02,8.5,4.4,0.6,0.95,24323369.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-03,10.6,5.5,0.6,0.95,26695620.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-04,12.7,6.7,0.6,0.96,32544180.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-05,14.8,7.8,0.6,0.97,38477440.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-06,16.9,8.9,0.6,0.97,45077148.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-07,19.1,10.0,0.6,0.97,49569870.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-08,21.2,11.1,0.6,0.94,60946872.0
PRJ-1011,Saadiyat Island Villas Community Hub,2026-09,23.3,12.2,0.6,0.94,59879880.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2025-10,7.2,4.5,0.88,0.96,12862317.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2025-11,9.9,7.2,0.87,0.96,18738573.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2025-12,12.7,10.0,0.89,0.97,27872620.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-01,15.4,12.7,0.88,0.97,33190795.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-02,18.1,15.4,0.88,0.97,42481785.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-03,20.8,18.1,0.89,0.98,43663668.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-04,23.6,20.9,0.91,1.0,59641864.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-05,26.3,23.6,0.9,1.0,58831505.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-06,29.0,26.3,0.91,1.02,63579707.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-07,31.7,29.0,0.92,1.01,83108968.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-08,34.5,31.8,0.91,1.01,76305092.0
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,2026-09,37.2,34.5,0.92,1.02,82695270.0
PRJ-1013,Masdar City Villas Phase 1,2025-10,7.3,8.1,0.97,0.86,40209779.0
PRJ-1013,Masdar City Villas Phase 1,2025-11,10.0,10.8,0.97,0.86,60115112.0
PRJ-1013,Masdar City Villas Phase 1,2025-12,12.8,13.6,0.97,0.87,72323585.0
PRJ-1013,Masdar City Villas Phase 1,2026-01,15.5,16.3,0.97,0.88,80684383.0
PRJ-1013,Masdar City Villas Phase 1,2026-02,18.2,19.0,0.97,0.89,98637196.0
PRJ-1013,Masdar City Villas Phase 1,2026-03,20.9,21.7,0.98,0.89,105033520.0
PRJ-1013,Masdar City Villas Phase 1,2026-04,23.7,24.5,0.99,0.91,138464241.0
PRJ-1013,Masdar City Villas Phase 1,2026-05,26.4,27.2,0.99,0.91,140861907.0
PRJ-1013,Masdar City Villas Phase 1,2026-06,29.1,29.9,1.0,0.92,148785249.0
PRJ-1013,Masdar City Villas Phase 1,2026-07,31.8,32.6,1.01,0.92,166001361.0
PRJ-1013,Masdar City Villas Phase 1,2026-08,34.6,35.4,1.02,0.92,188197177.0
PRJ-1013,Masdar City Villas Phase 1,2026-09,37.3,38.1,1.04,0.94,216250810.0
PRJ-1014,Al Maryah Island Villas Phase 2,2025-10,31.5,30.5,0.94,1.01,264171418.0
PRJ-1014,Al Maryah Island Villas Phase 2,2025-11,34.2,33.2,0.95,1.0,290921281.0
PRJ-1014,Al Maryah Island Villas Phase 2,2025-12,37.0,36.0,0.97,1.02,279831994.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-01,39.7,38.7,0.97,1.03,310081365.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-02,42.4,41.4,0.98,1.04,349498111.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-03,45.1,44.1,0.99,1.05,396998531.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-04,47.9,46.9,0.99,1.06,395320815.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-05,50.6,49.6,1.0,1.05,444422595.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-06,53.3,52.3,1.0,1.06,424718946.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-07,56.0,55.0,1.01,1.06,496220920.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-08,58.8,57.8,1.01,1.07,452804376.0
PRJ-1014,Al Maryah Island Villas Phase 2,2026-09,61.5,60.5,1.03,1.07,511913196.0
PRJ-1015,Al Shamkha Retail Tower B,2025-10,64.0,70.0,1.0,0.79,230813703.0
PRJ-1015,Al Shamkha Retail Tower B,2025-11,66.7,72.7,1.0,0.8,214551042.0
PRJ-1015,Al Shamkha Retail Tower B,2025-12,69.5,75.5,1.01,0.8,242852753.0
PRJ-1015,Al Shamkha Retail Tower B,2026-01,72.2,78.2,1.01,0.82,233355528.0
PRJ-1015,Al Shamkha Retail Tower B,2026-02,74.9,80.9,1.01,0.84,259790053.0
PRJ-1015,Al Shamkha Retail Tower B,2026-03,77.6,83.6,1.01,0.84,274539818.0
PRJ-1015,Al Shamkha Retail Tower B,2026-04,80.4,86.4,1.02,0.84,283017597.0
PRJ-1015,Al Shamkha Retail Tower B,2026-05,83.1,89.1,1.02,0.84,279832217.0
PRJ-1015,Al Shamkha Retail Tower B,2026-06,85.8,91.8,1.02,0.84,259923763.0
PRJ-1015,Al Shamkha Retail Tower B,2026-07,88.5,94.5,1.03,0.84,295110854.0
PRJ-1015,Al Shamkha Retail Tower B,2026-08,91.3,97.3,1.02,0.85,311025021.0
PRJ-1015,Al Shamkha Retail Tower B,2026-09,94.0,100.0,1.01,0.85,284733055.0
PRJ-1016,Al Reem Island Villas Tower B,2025-10,69.0,55.3,0.82,0.92,527691556.0
PRJ-1016,Al Reem Island Villas Tower B,2025-11,71.7,58.0,0.84,0.94,488584746.0
PRJ-1016,Al Reem Island Villas Tower B,2025-12,74.5,60.8,0.84,0.96,555306984.0
PRJ-1016,Al Reem Island Villas Tower B,2026-01,77.2,63.5,0.85,0.96,588106857.0
PRJ-1016,Al Reem Island Villas Tower B,2026-02,79.9,66.2,0.86,0.97,606738523.0
PRJ-1016,Al Reem Island Villas Tower B,2026-03,82.6,68.9,0.86,0.98,623037335.0
PRJ-1016,Al Reem Island Villas Tower B,2026-04,85.4,71.7,0.87,1.01,714756462.0
PRJ-1016,Al Reem Island Villas Tower B,2026-05,88.1,74.4,0.87,1.0,685164327.0
PRJ-1016,Al Reem Island Villas Tower B,2026-06,90.8,77.1,0.88,1.0,668462075.0
PRJ-1016,Al Reem Island Villas Tower B,2026-07,93.5,79.8,0.87,1.0,695369378.0
PRJ-1016,Al Reem Island Villas Tower B,2026-08,96.3,82.6,0.88,0.98,769573403.0
PRJ-1016,Al Reem Island Villas Tower B,2026-09,99.0,85.3,0.89,0.98,814401301.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2025-10,38.0,34.1,0.88,1.0,345869950.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2025-11,40.7,36.8,0.89,1.02,394673719.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2025-12,43.5,39.6,0.9,1.02,413062123.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-01,46.2,42.3,0.92,1.04,416785242.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-02,48.9,45.0,0.93,1.03,474369996.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-03,51.6,47.7,0.93,1.03,482066195.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-04,54.4,50.5,0.93,1.03,483836629.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-05,57.1,53.2,0.94,1.04,502262592.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-06,59.8,55.9,0.93,1.04,600854753.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-07,62.5,58.6,0.95,1.05,557474072.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-08,65.3,61.4,0.97,1.04,603337918.0
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,2026-09,68.0,64.1,0.97,1.05,666458641.0
PRJ-1018,Saadiyat Island Residential Extension,2025-10,70.0,55.1,0.8,0.98,378085723.0
PRJ-1018,Saadiyat Island Residential Extension,2025-11,72.7,57.8,0.81,1.0,404134698.0
PRJ-1018,Saadiyat Island Residential Extension,2025-12,75.5,60.6,0.82,1.0,397279624.0
PRJ-1018,Saadiyat Island Residential Extension,2026-01,78.2,63.3,0.82,1.02,428061664.0
PRJ-1018,Saadiyat Island Residential Extension,2026-02,80.9,66.0,0.81,1.03,432096085.0
PRJ-1018,Saadiyat Island Residential Extension,2026-03,83.6,68.7,0.82,1.05,464359196.0
PRJ-1018,Saadiyat Island Residential Extension,2026-04,86.4,71.5,0.83,1.04,470549469.0
PRJ-1018,Saadiyat Island Residential Extension,2026-05,89.1,74.2,0.83,1.05,479275130.0
PRJ-1018,Saadiyat Island Residential Extension,2026-06,91.8,76.9,0.85,1.07,499007219.0
PRJ-1018,Saadiyat Island Residential Extension,2026-07,94.5,79.6,0.85,1.06,549214333.0
PRJ-1018,Saadiyat Island Residential Extension,2026-08,97.3,82.4,0.87,1.05,598190404.0
PRJ-1018,Saadiyat Island Residential Extension,2026-09,100.0,85.1,0.87,1.03,582396857.0
PRJ-1019,Khalifa City Commercial Cluster 3,2025-10,18.6,12.5,0.82,0.77,22842805.0
PRJ-1019,Khalifa City Commercial Cluster 3,2025-11,21.3,15.2,0.83,0.78,26106507.0
PRJ-1019,Khalifa City Commercial Cluster 3,2025-12,24.1,18.0,0.85,0.79,31095661.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-01,26.8,20.7,0.85,0.78,37003646.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-02,29.5,23.4,0.87,0.78,43091458.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-03,32.2,26.1,0.87,0.77,45256476.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-04,35.0,28.9,0.85,0.78,52340157.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-05,37.7,31.6,0.86,0.79,59869843.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-06,40.4,34.3,0.87,0.79,61898762.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-07,43.1,37.0,0.87,0.8,61278634.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-08,45.9,39.8,0.85,0.8,69612553.0
PRJ-1019,Khalifa City Commercial Cluster 3,2026-09,48.6,42.5,0.86,0.79,76010567.0
PRJ-1020,Khalifa City Villas Extension,2025-10,0.0,0.0,0.6,0.89,0.0
PRJ-1020,Khalifa City Villas Extension,2025-11,1.7,0.7,0.6,0.89,2474562.0
PRJ-1020,Khalifa City Villas Extension,2025-12,3.4,1.3,0.6,0.9,4679507.0
PRJ-1020,Khalifa City Villas Extension,2026-01,5.1,2.0,0.6,0.88,7272184.0
PRJ-1020,Khalifa City Villas Extension,2026-02,6.8,2.6,0.6,0.87,9312826.0
PRJ-1020,Khalifa City Villas Extension,2026-03,8.5,3.3,0.6,0.88,13133079.0
PRJ-1020,Khalifa City Villas Extension,2026-04,10.3,3.9,0.6,0.91,14535908.0
PRJ-1020,Khalifa City Villas Extension,2026-05,12.0,4.6,0.6,0.91,16323211.0
PRJ-1020,Khalifa City Villas Extension,2026-06,13.7,5.2,0.6,0.92,19027829.0
PRJ-1020,Khalifa City Villas Extension,2026-07,15.4,5.9,0.6,0.93,20801100.0
PRJ-1020,Khalifa City Villas Extension,2026-08,17.1,6.5,0.6,0.96,22764572.0
PRJ-1020,Khalifa City Villas Extension,2026-09,18.8,7.2,0.6,0.98,27508391.0
PRJ-1021,Al Raha Beach Residential Extension,2025-10,45.3,31.3,0.76,0.97,282307430.0
PRJ-1021,Al Raha Beach Residential Extension,2025-11,48.0,34.0,0.75,0.97,332796598.0
PRJ-1021,Al Raha Beach Residential Extension,2025-12,50.8,36.8,0.74,0.99,373082012.0
PRJ-1021,Al Raha Beach Residential Extension,2026-01,53.5,39.5,0.75,1.0,382437651.0
PRJ-1021,Al Raha Beach Residential Extension,2026-02,56.2,42.2,0.75,0.99,371381221.0
PRJ-1021,Al Raha Beach Residential Extension,2026-03,58.9,44.9,0.74,0.99,439148512.0
PRJ-1021,Al Raha Beach Residential Extension,2026-04,61.7,47.7,0.73,0.99,426583809.0
PRJ-1021,Al Raha Beach Residential Extension,2026-05,64.4,50.4,0.73,0.98,479083699.0
PRJ-1021,Al Raha Beach Residential Extension,2026-06,67.1,53.1,0.75,0.99,521149982.0
PRJ-1021,Al Raha Beach Residential Extension,2026-07,69.8,55.8,0.76,1.02,531658251.0
PRJ-1021,Al Raha Beach Residential Extension,2026-08,72.6,58.6,0.77,1.01,597640898.0
PRJ-1021,Al Raha Beach Residential Extension,2026-09,75.3,61.3,0.79,1.02,609327436.0
PRJ-1022,Yas Island Public Cluster 3,2025-10,70.0,55.4,0.79,0.99,49820532.0
PRJ-1022,Yas Island Public Cluster 3,2025-11,72.7,58.1,0.79,0.98,52942672.0
PRJ-1022,Yas Island Public Cluster 3,2025-12,75.5,60.9,0.79,0.99,54791035.0
PRJ-1022,Yas Island Public Cluster 3,2026-01,78.2,63.6,0.79,1.0,61844072.0
PRJ-1022,Yas Island Public Cluster 3,2026-02,80.9,66.3,0.79,0.99,57626047.0
PRJ-1022,Yas Island Public Cluster 3,2026-03,83.6,69.0,0.79,1.0,58998825.0
PRJ-1022,Yas Island Public Cluster 3,2026-04,86.4,71.8,0.8,0.99,61444798.0
PRJ-1022,Yas Island Public Cluster 3,2026-05,89.1,74.5,0.8,1.0,66934191.0
PRJ-1022,Yas Island Public Cluster 3,2026-06,91.8,77.2,0.8,1.0,78356315.0
PRJ-1022,Yas Island Public Cluster 3,2026-07,94.5,79.9,0.8,0.99,76761065.0
PRJ-1022,Yas Island Public Cluster 3,2026-08,97.3,82.7,0.8,0.98,81072863.0
PRJ-1022,Yas Island Public Cluster 3,2026-09,100.0,85.4,0.81,0.98,73851853.0
PRJ-1023,Saadiyat Island Residential Phase 2,2025-10,70.0,55.3,0.8,0.8,293186744.0
PRJ-1023,Saadiyat Island Residential Phase 2,2025-11,72.7,58.0,0.8,0.79,325222248.0
PRJ-1023,Saadiyat Island Residential Phase 2,2025-12,75.5,60.8,0.81,0.8,353654578.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-01,78.2,63.5,0.8,0.82,359776648.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-02,80.9,66.2,0.8,0.8,421286244.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-03,83.6,68.9,0.79,0.8,383918638.0
PRJ-1023,Saadiyat Island Residential Phase 2,2026-04,86.4,71.7,0.79,0.81,447713993.0
