Project_ID,Project_Name,Sector,Location,Current_Phase,Contractor,Project_Manager,Start_Date,Planned_Completion_Date,Forecast_Completion_Date,Contract_Value_AED,Budget_AED,Planned_Percent_Complete,Actual_Percent_Complete,Planned_Value_PV_AED,Earned_Value_EV_AED,Actual_Cost_AC_AED,Committed_Cost_AED,Cost_Variance_AED,Schedule_Variance_AED,SPI,CPI,Open_Risks_Count,Risk_Level,Status
PRJ-1014,Al Maryah Island Villas Phase 2,Villas & Townhouses,Masdar City,Handover,Arabtec,Mariam Al Falasi,2025-03-10,2027-08-05,2027-08-14,827500000.0,791952465.0,61.5,60.5,487050766.0,479131241.0,449513170.0,623308878.0,29618072.0,-7919525.0,0.98,1.07,12,High,Minor Delay
PRJ-1015,Al Shamkha Retail Tower B,Retail & Community,Mohammed Bin Zayed City,Construction - Early,Bin Faqeeh Real Estate,Ahmed Al Mazrouei,2025-02-26,2026-10-06,2026-10-06,300700000.0,295430184.0,94.0,100.0,277704373.0,295430184.0,348136327.0,295430184.0,-52706143.0,17725811.0,1.06,0.85,0,High,At Risk
PRJ-1016,Al Reem Island Villas Tower B,Villas & Townhouses,Al Maryah Island,Defects Liability,ASGC Construction,Khalid Al Hosani,2024-12-28,2026-09-07,2026-11-13,828200000.0,883952414.0,99.0,85.3,875112890.0,754011409.0,782005234.0,874404099.0,-27993825.0,-121101481.0,0.86,0.96,12,High,At Risk
PRJ-1017,Mohammed Bin Zayed City Hospitality Extension,Hospitality,Al Reem Island,Construction - Mid,Bin Faqeeh Real Estate,Omar Al Suwaidi,2025-07-05,2027-03-19,2027-04-16,921800000.0,945115491.0,68.0,64.1,642678534.0,605819030.0,567743050.0,743847853.0,38075979.0,-36859504.0,0.94,1.07,8,Medium,Minor Delay
PRJ-1018,Saadiyat Island Residential Extension,Residential Towers,Al Reem Island,Procurement,Arabtec,Rashid Al Dhaheri,2024-09-02,2025-12-15,2026-03-11,657700000.0,644925168.0,100.0,85.1,644925168.0,548831318.0,545464021.0,605960952.0,3367297.0,-96093850.0,0.85,1.01,9,Medium,At Risk
PRJ-1019,Khalifa City Commercial Cluster 3,Commercial Office,Masdar City,Construction - Mid,Khansaheb Civil Engineering,Fatima Al Nuaimi,2025-08-06,2027-10-20,2027-12-21,167800000.0,173490954.0,48.6,42.5,84316604.0,73733655.0,88533496.0,74137692.0,-14799840.0,-10582948.0,0.87,0.83,9,High,At Risk
PRJ-1020,Khalifa City Villas Extension,Villas & Townhouses,Al Shamkha,Construction - Late,Khansaheb Civil Engineering,Saeed Al Mansoori,2025-12-20,2029-09-05,2030-01-31,364100000.0,349151099.0,18.8,7.2,65640407.0,25138879.0,26432410.0,72555166.0,-1293530.0,-40501527.0,0.38,0.95,4,High,Critical Delay
PRJ-1021,Al Raha Beach Residential Extension,Residential Towers,Saadiyat Island,Construction - Early,TAV Construction,Saeed Al Mansoori,2025-08-07,2027-01-07,2027-03-16,850700000.0,890269603.0,75.3,61.3,670373011.0,545735267.0,536560855.0,622049241.0,9174412.0,-124637744.0,0.81,1.02,10,High,At Risk
PRJ-1022,Yas Island Public Cluster 3,Public Realm & Landscaping,Saadiyat Island,Handover,Ghantoot Group,Saeed Al Mansoori,2024-01-06,2025-11-19,2026-03-27,89700000.0,89104603.0,100.0,85.4,89104603.0,76095331.0,73696395.0,81843289.0,2398936.0,-13009272.0,0.85,1.03,11,High,At Risk
PRJ-1023,Saadiyat Island Residential Phase 2,Residential Towers,Al Reem Island,Design,Al Jaber Construction,Noura Al Ketbi,2024-01-01,2026-02-17,2026-06-06,574300000.0,556641534.0,100.0,85.3,556641534.0,474815229.0,564885041.0,539958975.0,-90069812.0,-81826305.0,0.85,0.84,13,High,At Risk
PRJ-1024,Saadiyat Island Retail Tower B,Retail & Community,Masdar City,Handover,Trojan General Contracting,Noura Al Ketbi,2024-08-07,2027-10-18,2027-10-18,189100000.0,202504265.0,64.7,69.2,131020259.0,140132951.0,163007065.0,184755587.0,-22874114.0,9112692.0,1.07,0.86,0,High,At Risk
PRJ-1025,Al Raha Beach Hospitality Tower B,Hospitality,Al Reem Island,Procurement,National Projects & Const.,Mariam Al Falasi,2025-04-08,2028-10-22,2029-05-18,84900000.0,85850006.0,39.5,26.7,33910752.0,22921952.0,23492652.0,40532715.0,-570700.0,-10988801.0,0.68,0.98,13,High,Critical Delay
PRJ-1026,Al Maryah Island Residential Tower B,Residential Towers,Masdar City,Construction - Late,Arabtec,Khalid Al Hosani,2023-12-01,2025-03-16,2025-03-22,920200000.0,907580606.0,100.0,98.7,907580606.0,895782058.0,1087788379.0,902108625.0,-192006321.0,-11798548.0,0.99,0.82,0,High,At Risk
PRJ-1027,Al Raha Beach Mixed-Use Redevelopment,Mixed-Use Development,Yas Island,Procurement,TAV Construction,Ahmed Al Mazrouei,2024-09-01,2026-12-24,2027-03-06,361100000.0,379962298.0,86.5,79.8,328667388.0,303209914.0,289472605.0,372249047.0,13737309.0,-25457474.0,0.92,1.05,3,Medium,Minor Delay
PRJ-1028,Al Shamkha Hospitality Phase 1,Hospitality,Al Shamkha,Construction - Mid,Bin Faqeeh Real Estate,Khalid Al Hosani,2025-04-27,2027-08-16,2027-10-30,113000000.0,117107652.0,58.5,49.1,68507976.0,57499857.0,67528096.0,78572040.0,-10028239.0,-11008119.0,0.84,0.85,4,High,At Risk
